,LGU+ 미디어플랫폼 MSA전환 개발항목 검토,,,,,,,,, ,,,,,,, ,,,,,,,,,,,,,,,,,
,구분,,,,대상구분,,,,,,,,,,,,,개발 정보,,,,,,,,,,,,,,,,
,요구사항ID,상태,시스템,기능,세부반영구분,Phase 구분,오픈일정,재조정 0708,주차별 오픈일정,대메뉴,중메뉴,소메뉴,Domain,서비스/운영 구분,요구사항명,API,설명,CUD 여부,CUD 여부 검증,NAS 사용,실시간,캐시필요,개발 난이도,UI,통계,내부연동,외부연동,DB,캐시,배치,아이들나라 대상,"시험자동화
,IMCS_IPTV_018,,IMCS,IPTV,,3차,2023-03-29,5차,2023-03-29,API,IPTV,시청,Watching,서비스,본편 영상 미리보기용 시청 URL 정보 제공,authorizeNXPVew,,CU,,,,,중,,,,,,,,아이들나라,,아이들나라,
,IMCS_IPTV_019,,IMCS,IPTV,,3차,2023-03-29,5차,2023-03-29,API,IPTV,시청,Watching,서비스,VOD 이어보기 및 시청정보 저장,setUXPassedTime,,"CU,M,P",,,,,상,,,,,,,,아이들나라,,"Home, 유플릭스, 아이들나라",
,IMCS_IPTV_020,반영완료,IMCS,IPTV,,2차,2022-05-24,2차,,API,IPTV,시청,Watching,서비스,가입자별 VOD 재생을 위한 CDN PLAY IP 정보 제공,getNXVodPlayIP,권형도1,R,전환완료,,,,하,,,,,,,,아이들나라,,"Home, 아이들나라",
,IMCS_IPTV_021,,IMCS,IPTV,,3차,2023-03-22,5차,2023-03-22,API,IPTV,시청,Watching,서비스,IPTV UX 개편 이후 신규 시청목록/이어보기 목록,getNXWatchList,,R,,,,,상,,,,,,,,아이들나라,,"Home, 아이들나라",
,IMCS_IPTV_022,,IMCS,IPTV,3차,2차 → 3차,2023-03-29,5차,2023-03-29,API,IPTV,시청,Watching,서비스,시청목록에서 선택한 컨텐츠 삭제,rmUXWatchHist,임대근5,"U,M,P",,,,,하,,,,,,,,아이들나라,,"Home, 아이들나라",
,IMCS_IPTV_023,,IMCS,IPTV,3차,2차 → 3차,2023-03-29,5차,2023-03-29,API,IPTV,시청,Watching,서비스,시청목록 전체 삭제,rmUXAllWatchHis,임대근6,"U,M,P",,,,,하,,,,,,,,아이들나라,,"Home, 아이들나라",
,IMCS_IPTV_024,,IMCS,IPTV,,3차,2023-03-29,5차,2023-03-29,API,IPTV,구매,Pruchasing,서비스,VOD 구매전 오류 체크 (MIMS에서 호출) (유효성 검증),chkBuyUXPG,"구매처리 유효성 검증(결제, 할인)
MIMS에서만 호출함.

MIMS에서 결제 승인을못하기 때문에 
구매사전에 
결제, 할인이 가능한지 체크한다. ",R,,,,,중,,,,,,,,아이들나라,,"Home, 아이들나라",
,IMCS_IPTV_025,,IMCS,IPTV,,3차,2023-03-29,5차,2023-03-29,API,IPTV,구매,Pruchasing,서비스,VOD 구매전 오류 체크 (DRM에서 호출),chkBuyUXConts,"DRM 복호화를 위해 
시청권한을 정상적으로 가지고 있는 고객인지 여부 확인.",R,,,,,중,,,,,,,,아이들나라,,"Home, 유플릭스, 아이들나라",
,IMCS_IPTV_026,,IMCS,IPTV,,3차,2023-03-29,5차,2023-03-29,API,IPTV,구매,Pruchasing,서비스,VOD 구매요청에 대해 인증을 수행하고 성공여부를 제공,buyUXContent,구매정보 저장,"CU,M,P",,,,,상,,,,,,,,아이들나라,,"Home, 아이들나라",
,IMCS_IPTV_027,,IMCS,IPTV,,3차,2023-03-29,5차,2023-03-29,API,IPTV,구매,Pruchasing,서비스,VOD 구매요청에 대해 인증을 수행하고 성공여부를 제공 (쿠폰구매에만 사용),buyUXContsCp,구매정보 저장,"CU,M,P",,,,,상,,,,,,,,아이들나라,,"Home, 아이들나라",
,IMCS_IPTV_028,,IMCS,IPTV,,3차,2023-03-29,5차,2023-03-29,API,IPTV,구매,Pruchasing,서비스,VOD 할인 수단 복합결제 구매,buyUXDMConts,"구매정보 저장(최근사용 권장)
복합결제 지원","CU,M,P",,,,,상,,,,,,,,아이들나라,,"Home, 아이들나라",
,IMCS_IPTV_029,,IMCS,IPTV,,3차,2023-03-22,5차,2023-03-22,API,IPTV,구매,Pruchasing,서비스,I30/키즈 구매 목록 가져오기,getI30Purchased,고객이 구매한 구매목록을 가져옴,R,,,,,상,,,,,,,,아이들나라,,"Home, 아이들나라",
,IMCS_IPTV_030,,IMCS,IPTV,,3차,2023-03-22,5차,2023-03-22,API,IPTV,구매,Pruchasing,서비스,할인수단 복합결제 상세 정보 제공,getUXDMPurDtl,구매한 결제 및 할인 수단에 대하여 개별 상세 내역을 전달함. ,R,,,,,하,,,,,,,,아이들나라,,"Home, 아이들나라",
